"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"180",10,"Jalen Nailor",LV,"WR70","13","-","-","2 out of 5 stars","-12"
"181",10,"Sean Tucker",TB,"RB57","10","3 out of 5","4 out of 5","2 out of 5 stars","+51"
"182",10,"Troy Franklin",DEN,"WR71","10","1 out of 5","4 out of 5","2 out of 5 stars","+76"
"183",10,"Emmett Johnson",KC,"RB58","5","4 out of 5","4 out of 5","3 out of 5 stars","+12"
"184",10,"James Conner",ARI,"RB59","14","2 out of 5","4 out of 5","2 out of 5 stars","+12"
"185",10,"Brandon Aubrey",DAL,"K1","14","5 out of 5","1 out of 5","2 out of 5 stars","-66"
"186",10,"Ray Davis",BUF,"RB60","7","-","-","2 out of 5 stars","+49"
"187",10,"Calvin Ridley",TEN,"WR72","9","2 out of 5","4 out of 5","3 out of 5 stars","-6"
"188",10,"Dontayvion Wicks",PHI,"WR73","10","3 out of 5","4 out of 5","4 out of 5 stars","+79"
"189",10,"Minnesota Vikings",MIN,"DST6","6","-","-","1 out of 5 stars","-29"
"190",10,"AJ Barner",SEA,"TE23","11","4 out of 5","2 out of 5","3 out of 5 stars","+8"
"191",10,"Jaylin Noel",HOU,"WR74","8","4 out of 5","3 out of 5","3 out of 5 stars","+103"
"192",10,"Pittsburgh Steelers",PIT,"DST7","9","-","-","5 out of 5 stars","-30"
"193",10,"Jacksonville Jaguars",JAC,"DST8","7","-","-","3 out of 5 stars","-22"
"194",10,"Malik Washington",MIA,"WR75","6","3 out of 5","4 out of 5","3 out of 5 stars","+52"
"195",10,"New England Patriots",NE,"DST9","11","-","-","3 out of 5 stars","-36"
"196",10,"Kenyon Sadiq",NYJ,"TE24","13","4 out of 5","4 out of 5","4 out of 5 stars","-43"
"197",10,"Los Angeles Chargers",LAC,"DST10","7","-","-","3 out of 5 stars","-19"
"198",10,"Ka'imi Fairbairn",HOU,"K2","8","5 out of 5","1 out of 5","2 out of 5 stars","-48"
"199",10,"Pat Bryant",DEN,"WR76","10","-","-","2 out of 5 stars","+107"
"200",10,"Darnell Mooney",NYG,"WR77","8","4 out of 5","4 out of 5","4 out of 5 stars","+10"
"201",10,"Cameron Dicker",LAC,"K3","7","5 out of 5","1 out of 5","2 out of 5 stars","-57"
"202",10,"Isaac TeSlaa",DET,"WR78","6","4 out of 5","4 out of 5","4 out of 5 stars","+29"
"203",10,"Gunnar Helm",TEN,"TE25","9","3 out of 5","3 out of 5","3 out of 5 stars","+40"
"204",10,"Cam Little",JAC,"K4","7","-","-","4 out of 5 stars","-40"
"205",10,"Emanuel Wilson",SEA,"RB61","11","2 out of 5","4 out of 5","4 out of 5 stars","+2"
"206",11,"Mike Washington Jr.",LV,"RB62","13","3 out of 5","4 out of 5","2 out of 5 stars","+20"
"207",11,"Baltimore Ravens",BAL,"DST11","13","-","-","5 out of 5 stars","-40"
"208",11,"Jason Myers",SEA,"K5","11","-","-","4 out of 5 stars","-62"
"209",11,"Antonio Williams",WAS,"WR79","7","4 out of 5","2 out of 5","2 out of 5 stars","-4"
"210",11,"Nicholas Singleton",TEN,"RB63","9","3 out of 5","4 out of 5","3 out of 5 stars","-1"
"211",11,"Rashod Bateman",BAL,"WR80","13","3 out of 5","4 out of 5","4 out of 5 stars","+36"
"212",11,"Geno Smith",NYJ,"QB28","13","2 out of 5","4 out of 5","4 out of 5 stars","+151"
"213",11,"Eddy Pineiro",SF,"K6","8","4 out of 5","2 out of 5","5 out of 5 stars","-28"
"214",11,"Tyler Loop",BAL,"K7","13","-","-","3 out of 5 stars","-24"
"215",11,"Aaron Rodgers",PIT,"QB29","9","1 out of 5","4 out of 5","2 out of 5 stars","+27"
"216",11,"Cooper Kupp",SEA,"WR81","11","3 out of 5","4 out of 5","3 out of 5 stars","+1"
"217",11,"Green Bay Packers",GB,"DST12","11","-","-","2 out of 5 stars","-11"
"218",11,"Tank Dell",HOU,"WR82","8","3 out of 5","4 out of 5","3 out of 5 stars","-41"
"219",11,"Kansas City Chiefs",KC,"DST13","5","-","-","3 out of 5 stars","-5"
"220",11,"Cairo Santos",CHI,"K8","10","-","-","0 out of 5 stars","-19"
"221",11,"MarShawn Lloyd",GB,"RB64","11","4 out of 5","4 out of 5","4 out of 5 stars","+38"
"222",11,"Detroit Lions",DET,"DST14","6","-","-","5 out of 5 stars","-40"
"223",11,"Jake Bates",DET,"K9","6","-","-","5 out of 5 stars","-44"
"224",11,"Kaytron Allen",WAS,"RB65","7","3 out of 5","4 out of 5","4 out of 5 stars","+15"
"225",11,"Evan McPherson",CIN,"K10","6","-","-","2 out of 5 stars","-4"
"226",11,"Andy Borregales",NE,"K11","11","-","-","1 out of 5 stars","+15"
"227",11,"Pat Freiermuth",PIT,"TE26","9","3 out of 5","3 out of 5","2 out of 5 stars","+2"
"228",11,"Zachariah Branch",ATL,"WR83","11","3 out of 5","4 out of 5","3 out of 5 stars","+6"
"229",11,"Cade Otton",TB,"TE27","10","2 out of 5","4 out of 5","2 out of 5 stars","-16"
"230",11,"Chimere Dike",TEN,"WR84","9","2 out of 5","5 out of 5","3 out of 5 stars","+91"
"231",11,"Terrance Ferguson",LAR,"TE28","11","4 out of 5","4 out of 5","4 out of 5 stars","-19"
"232",11,"Jaydon Blue",DAL,"RB66","14","4 out of 5","3 out of 5","4 out of 5 stars","+12"
"233",11,"Cleveland Browns",CLE,"DST15","11","-","-","5 out of 5 stars","-36"
"234",11,"Jaylen Wright",MIA,"RB67","6","-","-","3 out of 5 stars","+17"
"235",11,"Germie Bernard",PIT,"WR85","9","2 out of 5","4 out of 5","3 out of 5 stars","+38"
"236",11,"Chase McLaughlin",TB,"K12","10","-","-","3 out of 5 stars","-21"
"237",11,"Harrison Mevis",LAR,"K13","11","-","-","2 out of 5 stars","-67"
"238",11,"Buffalo Bills",BUF,"DST16","7","-","-","3 out of 5 stars","-39"
"239",11,"Greg Dulcich",MIA,"TE29","6","4 out of 5","3 out of 5","5 out of 5 stars","-15"
"240",11,"Ollie Gordon II",MIA,"RB68","6","3 out of 5","4 out of 5","3 out of 5 stars","+134"
"241",11,"Jack Bech",LV,"WR86","13","3 out of 5","4 out of 5","2 out of 5 stars","+7"
"242",11,"Keon Coleman",BUF,"WR87","7","2 out of 5","4 out of 5","4 out of 5 stars","+59"
"243",11,"Elic Ayomanor",TEN,"WR88","9","1 out of 5","5 out of 5","3 out of 5 stars","+39"
"244",11,"David Njoku",LAC,"TE30","7","4 out of 5","4 out of 5","4 out of 5 stars","-40"
"245",11,"Justice Hill",BAL,"RB69","13","-","-","3 out of 5 stars","-22"
"246",11,"Harrison Butker",KC,"K14","5","-","-","5 out of 5 stars","-54"
"247",11,"Evan Engram",DEN,"TE31","10","-","-","4 out of 5 stars","+88"
"248",11,"Chris Boswell",PIT,"K15","9","-","-","4 out of 5 stars","-23"
"249",11,"Fernando Mendoza",LV,"QB30","13","4 out of 5","3 out of 5","1 out of 5 stars","-33"
"250",11,"Tua Tagovailoa",ATL,"QB31","11","2 out of 5","4 out of 5","4 out of 5 stars","+49"
"251",11,"Colby Parkinson",LAR,"TE32","11","-","-","4 out of 5 stars","+18"
"252",11,"Isaiah Davis",NYJ,"RB70","13","2 out of 5","4 out of 5","3 out of 5 stars","+175"
"253",12,"Tory Horton",SEA,"WR89","11","4 out of 5","4 out of 5","3 out of 5 stars","+50"
"254",12,"George Holani",SEA,"RB71","11","3 out of 5","4 out of 5","4 out of 5 stars","+14"
"255",12,"Malachi Fields",NYG,"WR90","8","4 out of 5","3 out of 5","4 out of 5 stars","-22"
"256",12,"Chris Bell",MIA,"WR91","6","3 out of 5","4 out of 5","3 out of 5 stars","+44"
